timestamp,event,pid,ppid,name,cmd,windowtitle
2026-06-28T18:32:07.8859123-04:00,FOUND,33116,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --startup-read-main-dll --metrics-shmem-handle=2508,i,4530766216709275570,11130737733189291820,524288 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2532 /prefetch:13 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28",""
2026-06-28T18:32:07.9043792-04:00,FOUND,22448,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=2.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1782667793885446 --launch-time-ticks=18056943290 --ssd-no-pressure-read-main-dll --metrics-shmem-handle=4004,i,10012823251828499707,10433984098248890842,2097152 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=4000 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28 /prefetch:1",""
2026-06-28T18:32:07.9223430-04:00,FOUND,32988,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=2.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1782667793885446 --launch-time-ticks=18057336201 --skip-read-main-dll --metrics-shmem-handle=3596,i,13803102388749639935,18154893138264144734,2097152 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=4516 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28 /prefetch:1",""
2026-06-28T18:32:07.9380783-04:00,FOUND,22188,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=2.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1782667793885446 --launch-time-ticks=18057547596 --skip-read-main-dll --metrics-shmem-handle=4684,i,1209763586681582137,6252167901128420736,2097152 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708992871164437 --mojo-platform-channel-handle=4824 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28 /prefetch:1",""
2026-06-28T18:32:07.9645657-04:00,FOUND,35312,14732,bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -c ""powershell -NoProfile -ExecutionPolicy Bypass -File 'E:/ai/Projects/Meridian/screenshots/proc-poller.ps1'""",""
2026-06-28T18:32:07.9792704-04:00,FOUND,32612,35312,bash.exe,"""C:\Program Files\Git\bin\..\usr\bin\bash.exe"" -c ""powershell -NoProfile -ExecutionPolicy Bypass -File 'E:/ai/Projects/Meridian/screenshots/proc-poller.ps1'""",""
2026-06-28T18:32:08.0035320-04:00,FOUND,26912,32612,powershell.exe,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1",""
2026-06-28T18:32:08.9488221-04:00,FOUND,14752,14744,conhost.exe,"\??\C:\Windows\system32\conhost.exe 0x4",""
2026-06-28T18:32:09.3611603-04:00,FOUND,27912,27124,conhost.exe,"\??\C:\Windows\system32\conhost.exe 0x4",""
2026-06-28T18:32:09.3637060-04:00,FOUND,27992,27124,powershell.exe,"powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip ""9Router - Port 20128""",""
