timestamp,event,summary
2026-06-28T18:32:18.2423285-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:19.1839576-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:19.6163971-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:19.6386081-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:19.6585186-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:20.4783220-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:20.8250826-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:21.8060360-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:22.2455810-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:22.2701553-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
